,timestamp,sho_count
576238,2019-01-23,0
576237,2019-01-24,0
576236,2019-01-25,0
576235,2019-01-28,0
576234,2019-01-29,0
576233,2019-01-30,0
576232,2019-01-31,0
576231,2019-02-01,0
576230,2019-02-04,0
576229,2019-02-05,0
576228,2019-02-06,0
576227,2019-02-07,0
576226,2019-02-08,0
576225,2019-02-11,0
576224,2019-02-12,0
576223,2019-02-13,0
576222,2019-02-14,0
576221,2019-02-15,0
576220,2019-02-19,0
576219,2019-02-20,0
576218,2019-02-21,0
576217,2019-02-22,0
576216,2019-02-25,0
576215,2019-02-26,0
576214,2019-02-27,0
576213,2019-02-28,0
576212,2019-03-01,0
576211,2019-03-04,0
576210,2019-03-05,0
576209,2019-03-06,0
576208,2019-03-07,0
576207,2019-03-08,0
576206,2019-03-11,0
576205,2019-03-12,0
576204,2019-03-13,0
576203,2019-03-14,0
576202,2019-03-15,0
576201,2019-03-18,0
576200,2019-03-19,0
576199,2019-03-20,0
576198,2019-03-21,0
576197,2019-03-22,0
576196,2019-03-25,0
576195,2019-03-26,0
576194,2019-03-27,0
576193,2019-03-28,0
576192,2019-03-29,0
576191,2019-04-01,0
576190,2019-04-02,0
576189,2019-04-03,0
576188,2019-04-04,0
576187,2019-04-05,0
576186,2019-04-08,0
576185,2019-04-09,0
576184,2019-04-10,0
576183,2019-04-11,0
576182,2019-04-12,0
576181,2019-04-15,0
576180,2019-04-16,0
576179,2019-04-17,0
576178,2019-04-18,0
576177,2019-04-22,0
576176,2019-04-23,0
576175,2019-04-24,0
576174,2019-04-25,0
576173,2019-04-26,0
576172,2019-04-29,0
576171,2019-04-30,0
576170,2019-05-01,0
576169,2019-05-02,0
576168,2019-05-03,0
576167,2019-05-06,0
576166,2019-05-07,0
576165,2019-05-08,0
576164,2019-05-09,0
576163,2019-05-10,0
576162,2019-05-13,0
576161,2019-05-14,0
576160,2019-05-15,0
576159,2019-05-16,0
576158,2019-05-17,0
576157,2019-05-20,0
576156,2019-05-21,0
576155,2019-05-22,0
576154,2019-05-23,0
576153,2019-05-24,0
576152,2019-05-28,0
576151,2019-05-29,0
576150,2019-05-30,0
576149,2019-05-31,0
576148,2019-06-03,0
576147,2019-06-04,0
576146,2019-06-05,0
576145,2019-06-06,0
576144,2019-06-07,0
576143,2019-06-10,0
576142,2019-06-11,0
576141,2019-06-12,0
576140,2019-06-13,0
576139,2019-06-14,0
576138,2019-06-17,0
576137,2019-06-18,0
576136,2019-06-19,0
576135,2019-06-20,0
576134,2019-06-21,0
576133,2019-06-24,0
576132,2019-06-25,0
576131,2019-06-26,0
576130,2019-06-27,0
576129,2019-06-28,0
576128,2019-07-01,0
576127,2019-07-02,0
576126,2019-07-03,0
576125,2019-07-05,0
576124,2019-07-08,0
576123,2019-07-09,0
576122,2019-07-10,0
576121,2019-07-11,0
576120,2019-07-12,0
576119,2019-07-15,0
576118,2019-07-16,0
576117,2019-07-17,0
576116,2019-07-18,0
576115,2019-07-19,0
576114,2019-07-22,0
576113,2019-07-23,0
576112,2019-07-24,0
576111,2019-07-25,0
576110,2019-07-26,0
576109,2019-07-29,0
576108,2019-07-30,0
576107,2019-07-31,0
576106,2019-08-01,0
576105,2019-08-02,0
576104,2019-08-05,0
576103,2019-08-06,0
576102,2019-08-07,0
576101,2019-08-08,0
576100,2019-08-09,0
576099,2019-08-12,0
576098,2019-08-13,0
576097,2019-08-14,0
576096,2019-08-15,0
576095,2019-08-16,0
576094,2019-08-19,0
576093,2019-08-20,0
576092,2019-08-21,0
576091,2019-08-22,0
576090,2019-08-23,0
576089,2019-08-26,0
576088,2019-08-27,0
576087,2019-08-28,0
576086,2019-08-29,0
576085,2019-08-30,0
576084,2019-09-03,0
576083,2019-09-04,0
576082,2019-09-05,0
576081,2019-09-06,0
576080,2019-09-09,0
576079,2019-09-10,0
576078,2019-09-11,0
576077,2019-09-12,0
576076,2019-09-13,0
576075,2019-09-16,0
576074,2019-09-17,0
576073,2019-09-18,0
576072,2019-09-19,0
576071,2019-09-20,0
576070,2019-09-23,0
576069,2019-09-24,0
576068,2019-09-25,0
576067,2019-09-26,0
576066,2019-09-27,0
576065,2019-09-30,0
576064,2019-10-01,0
576063,2019-10-02,0
576062,2019-10-03,0
576061,2019-10-04,0
576060,2019-10-07,0
576059,2019-10-08,0
576058,2019-10-09,0
576057,2019-10-10,0
