timestamp_PT,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
8/25/2021,8/26/2021,12.05,12.37,12.03,12.09,12.09,596023,0,1
8/24/2021,8/25/2021,12.36,12.61,12.07,12.13,12.13,669794,0,1
8/23/2021,8/24/2021,12.6,12.71,11.94,12.35,12.35,1131363,0,1
8/22/2021,8/23/2021,11.76,12.4,11.29,12.4,12.4,1221373,0,1
8/19/2021,8/20/2021,11.77,11.91,11.45,11.51,11.51,1163825,0,1
8/18/2021,8/19/2021,12.21,12.215,11.71,11.82,11.82,1059875,0,1
8/17/2021,8/18/2021,12.69,12.74,11.94,12.25,12.25,1271897,0,1
8/16/2021,8/17/2021,13.33,13.44,12.45,12.55,12.55,1271866,0,1
8/15/2021,8/16/2021,14.16,14.2,13.3,13.49,13.49,988526,0,1
8/12/2021,8/13/2021,14.67,14.75,13.92,14.05,14.05,1156181,0,1
8/11/2021,8/12/2021,15.06,15.32,14.35,14.37,14.37,1260842,0,1
8/10/2021,8/11/2021,15.76,15.96,14.7766,15.34,15.34,887224,0,1
8/9/2021,8/10/2021,14.86,15.97,14.69,15.53,15.53,1030546,0,1
8/8/2021,8/9/2021,14.38,14.84,14.35,14.65,14.65,503123,0,1
8/5/2021,8/6/2021,14.61,14.77,14.34,14.49,14.49,408572,0,1
8/4/2021,8/5/2021,14.36,14.68,14.3,14.59,14.59,456364,0,1
8/3/2021,8/4/2021,14.6,14.6,14.05,14.3,14.3,597315,0,1
8/2/2021,8/3/2021,14.99,15.16,14.38,14.56,14.56,492825,0,1
8/1/2021,8/2/2021,15.33,15.64,14.76,14.86,14.86,535992,0,1
7/29/2021,7/30/2021,15.15,15.69,14.8996,15.4,15.4,400287,0,1
7/28/2021,7/29/2021,15.42,15.75,15.15,15.43,15.43,309886,0,1
7/27/2021,7/28/2021,14.67,15.4,14.67,15.34,15.34,437877,0,1
7/26/2021,7/27/2021,15.26,15.27,14.62,14.82,14.82,775725,0,1
7/25/2021,7/26/2021,14.49,15.5,14.32,15.47,15.47,742922,0,1
7/22/2021,7/23/2021,15.11,15.17,14.32,14.39,14.39,927082,0,1
7/21/2021,7/22/2021,15.3,15.47,14.61,15.04,15.04,637681,0,1
7/20/2021,7/21/2021,14.86,15.47,14.72,15.24,15.24,652477,0,1
7/19/2021,7/20/2021,14.4,14.9,14.19,14.59,14.59,671676,0,1
7/18/2021,7/19/2021,14.89,14.92,14.08,14.23,14.23,1727252,0,1
7/15/2021,7/16/2021,15.17,15.42,15,15.16,15.16,734121,0,1
7/14/2021,7/15/2021,15,15.8,14.91,15.13,15.13,829988,0,1
7/13/2021,7/14/2021,16.1,16.18,14.9,15.22,15.22,1593898,0,1
7/12/2021,7/13/2021,16.72,17,15.88,16.02,16.02,1185425,0,1
7/11/2021,7/12/2021,17.53,17.75,16.79,17,17,1019398,0,1
7/8/2021,7/9/2021,18,18.17,17.65,17.71,17.71,712586,0,1
7/7/2021,7/8/2021,18.06,18.44,17.91,17.94,17.94,739807,0,1
7/6/2021,7/7/2021,18.55,19.1608,18.14,18.85,18.85,629158,0,1
7/5/2021,7/6/2021,19.18,19.57,18.65,18.74,18.74,522543,0,1
7/1/2021,7/2/2021,19.57,19.7,19.14,19.36,19.36,422736,0,1
6/30/2021,7/1/2021,19.24,19.9,19.2209,19.56,19.56,497972,0,1
6/29/2021,6/30/2021,19.96,19.98,19.25,19.44,19.44,984966,0,1
6/28/2021,6/29/2021,19.65,20.05,19.4,20,20,3922560,0,1
6/27/2021,6/28/2021,18.75,19.89,18.75,19.6,19.6,981001,0,1
6/24/2021,6/25/2021,19.21,19.45,18.81,18.98,18.98,519156,0,1
6/23/2021,6/24/2021,19.13,19.39,18.88,19.23,19.23,660283,0,1
6/22/2021,6/23/2021,18.49,19.31,18.47,19,19,1326356,0,1
6/21/2021,6/22/2021,18.11,18.57,17.94,18.37,18.37,1105374,0,1
6/20/2021,6/21/2021,18.3,18.56,17.85,18.37,18.37,1040396,0,1
6/17/2021,6/18/2021,19.11,19.41,18.37,18.56,18.56,1707163,0,1
6/16/2021,6/17/2021,18.78,19.44,17.91,19.42,19.42,2004770,0,1
6/15/2021,6/16/2021,17.8,19.33,17.61,18.8,18.8,2091869,0,1
6/14/2021,6/15/2021,18.35,18.5,17.28,17.84,17.84,2629139,0,1
6/13/2021,6/14/2021,19.9,20.03,18.26,18.79,18.79,1655253,0,1
6/10/2021,6/11/2021,20.68,20.84,19.6169,19.76,19.76,1329826,0,1
6/9/2021,6/10/2021,21.2,21.71,20.53,20.68,20.68,1244342,0,1
6/8/2021,6/9/2021,22.2,22.6,21.14,21.31,21.31,1901205,0,1
6/7/2021,6/8/2021,21.57,23.45,21.55,22.4,22.4,2575467,0,1
6/6/2021,6/7/2021,20.72,21.89,20.38,21.46,21.46,2055574,0,1
6/3/2021,6/4/2021,19.55,21.61,19.43,20.44,20.44,4005815,0,1
6/2/2021,6/3/2021,18.9,19.58,18.14,19.53,19.53,1347312,0,1
6/1/2021,6/2/2021,18.96,19.17,18.76,19.06,19.06,799884,0,1
5/31/2021,6/1/2021,19.84,19.84,18.8,18.87,18.87,749256,0,1
5/27/2021,5/28/2021,19.05,19.9,19.02,19.07,19.07,898006,0,1
5/26/2021,5/27/2021,20.22,20.44,18.87,19.16,19.16,1180957,0,1
5/25/2021,5/26/2021,20.33,20.6619,19.63,19.95,19.95,1538956,0,1
5/24/2021,5/25/2021,19.62,20.62,19.62,20.05,20.05,1549314,0,1
5/23/2021,5/24/2021,19.63,20,18.8901,19.76,19.76,934650,0,1
5/20/2021,5/21/2021,18.6,19.47,18.4,19.17,19.17,1364656,0,1
5/19/2021,5/20/2021,17.86,18.75,17.57,18.32,18.32,1174974,0,1
5/18/2021,5/19/2021,17.12,17.66,16.5,17.55,17.55,1051229,0,1
5/17/2021,5/18/2021,17.05,17.85,16.78,17.25,17.25,1544842,0,1
5/16/2021,5/17/2021,15.92,16.62,15.5,16.58,16.58,1586176,0,1
5/13/2021,5/14/2021,14.44,15.4,14.25,15.09,15.09,1535776,0,1
5/12/2021,5/13/2021,15.49,15.9701,13.87,14.05,14.05,1686637,0,1
5/11/2021,5/12/2021,15.7,16.17,15.01,15.03,15.03,1287095,0,1
5/10/2021,5/11/2021,16.65,16.7,15.52,15.78,15.78,2899000,0,1
5/9/2021,5/10/2021,19.55,20.2,17.17,17.31,17.31,1931608,0,1
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
12/29/1899,,,,,,,,,
